City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Zaysan,KZ,2021-11-25 04:33:34,47.4667,84.8667,34.21,79,100,1.59
274,Hami,CN,2021-11-25 04:33:35,42.8,93.45,32.65,52,33,0.85
275,Kapoeta,SS,2021-11-25 04:33:35,4.7717,33.5903,82.54,34,8,4.38
276,Mastic Beach,US,2021-11-25 04:33:36,40.7668,-72.8521,43.99,64,1,0.0
277,Kushiro,JP,2021-11-25 04:33:36,42.975,144.3747,43.75,42,40,4.61
278,Salinas,US,2021-11-25 04:31:15,36.6777,-121.6555,59.04,51,1,0.0
279,Niquelandia,BR,2021-11-25 04:33:37,-14.4739,-48.4597,70.77,70,59,2.68
280,Broome,US,2021-11-25 04:33:37,42.2506,-75.833,37.63,66,1,1.99
281,Verkh-Chebula,RU,2021-11-25 04:33:38,56.0308,87.6218,21.2,93,100,3.44
282,Bilma,NE,2021-11-25 04:33:38,18.6853,12.9164,72.18,22,0,5.23
283,Nuuk,GL,2021-11-25 04:33:39,64.1835,-51.7216,29.01,100,90,2.3
284,Mount Gambier,AU,2021-11-25 04:33:39,-37.8333,140.7667,64.31,59,90,19.57
285,Valparaiso,CL,2021-11-25 04:32:16,-33.0393,-71.6273,51.44,93,0,3.44
286,Taranagar,IN,2021-11-25 04:33:40,28.6709,75.0351,75.83,24,0,4.88
287,Fallon,US,2021-11-25 04:33:40,39.4735,-118.7774,33.46,54,20,4.61
288,Pevek,RU,2021-11-25 04:33:41,69.7008,170.3133,-11.22,91,100,4.21
289,Djambala,CG,2021-11-25 04:33:41,-2.5447,14.7533,67.24,93,100,3.76
290,Itoman,JP,2021-11-25 04:33:41,26.1247,127.6694,69.82,60,75,10.36
